"subject"	"block"	"trial"	"cue"	"cond"	"is_common"	"outcome_go"	"outcome_nogo"	"key_correct"	"key_pressed"	"is_correct"	"outcome"	"rt"	"shocked"	"tdcs"
15	2	111	2	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
15	2	112	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	2	113	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	2	114	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	2	115	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	2	116	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	2	117	1	"go_punish"	1	0	-1	1	1	1	0	0.300790700130165	NA	1
15	2	118	3	"go_reward"	1	1	0	1	1	1	1	0.470303499838337	NA	1
15	2	119	1	"go_punish"	1	0	-1	1	1	1	0	0.303002299973741	NA	1
15	2	120	2	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
15	3	121	1	"go_punish"	0	-1	0	1	1	1	-1	0.325110299978405	1	1
15	3	122	3	"go_reward"	1	1	0	1	1	1	1	0.270202800165862	NA	1
15	3	123	1	"go_punish"	1	0	-1	1	1	1	0	0.506436700001359	NA	1
15	3	124	3	"go_reward"	0	0	1	1	1	1	0	0.386662500211969	NA	1
15	3	125	3	"go_reward"	1	1	0	1	1	1	1	0.287179399980232	NA	1
15	3	126	1	"go_punish"	1	0	-1	1	1	1	0	0.301985800033435	NA	1
15	3	127	1	"go_punish"	0	-1	0	1	1	1	-1	0.321924700168893	1	1
15	3	128	2	"nogo_punish"	1	-1	0	0	1	0	-1	0.401330700144172	0	1
15	3	129	3	"go_reward"	1	1	0	1	1	1	1	0.349957100115717	NA	1
15	3	130	2	"nogo_punish"	1	-1	0	0	1	0	-1	0.287104099988937	0	1
15	3	131	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	3	132	3	"go_reward"	1	1	0	1	1	1	1	0.407914299983531	NA	1
15	3	133	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	3	134	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	3	135	3	"go_reward"	1	1	0	1	1	1	1	0.390835899859667	NA	1
15	3	136	1	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
15	3	137	4	"nogo_reward"	1	0	1	0	1	0	0	0.253648499958217	NA	1
15	3	138	1	"go_punish"	0	-1	0	1	0	0	0	NA	NA	1
15	3	139	1	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
15	3	140	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	3	141	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	3	142	3	"go_reward"	0	0	1	1	1	1	0	0.249835600145161	NA	1
15	3	143	1	"go_punish"	0	-1	0	1	0	0	0	NA	NA	1
15	3	144	2	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
15	3	145	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	3	146	1	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
15	3	147	3	"go_reward"	1	1	0	1	1	1	1	0.54191069980152	NA	1
15	3	148	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	3	149	4	"nogo_reward"	0	1	0	0	1	0	1	0.539082400035113	NA	1
15	3	150	1	"go_punish"	1	0	-1	1	1	1	0	0.384185200091451	NA	1
15	3	151	3	"go_reward"	0	0	1	1	1	1	0	0.29774979990907	NA	1
15	3	152	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	3	153	1	"go_punish"	1	0	-1	1	1	1	0	0.246942400000989	NA	1
15	3	154	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	3	155	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	3	156	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	3	157	3	"go_reward"	1	1	0	1	1	1	1	0.32082760008052	NA	1
15	3	158	2	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
15	3	159	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	3	160	3	"go_reward"	1	1	0	1	1	1	1	0.313051399774849	NA	1
15	3	161	4	"nogo_reward"	0	1	0	0	0	1	0	NA	NA	1
