subject	block	trial	cue	cond	is_common	outcome_go	outcome_nogo	key_correct	key_pressed	is_correct	outcome	rt	shocked	tdcs
33	1	17	1	go_reward	1	1	0	1	1	1	1	0.3114519999362528		2
33	1	18	4	nogo_punish	0	0	-1	0	1	0	0	0.3847062001004815		2
33	1	19	3	go_punish	1	0	-1	1	1	1	0	0.4671156997792423		2
33	1	20	3	go_punish	1	0	-1	1	0	0	-1		1.0	2
33	1	21	2	nogo_reward	0	1	0	0	1	0	1	0.5521988999098539		2
33	1	22	4	nogo_punish	1	-1	0	0	1	0	-1	0.2152061997912824	1.0	2
33	1	23	2	nogo_reward	1	0	1	0	1	0	0	0.5304223001003265		2
33	1	24	3	go_punish	1	0	-1	1	1	1	0	0.4581156000494957		2
33	1	25	3	go_punish	1	0	-1	1	1	1	0	0.6326005998998879		2
33	1	26	1	go_reward	0	0	1	1	1	1	0	0.2952326997183263		2
33	1	27	2	nogo_reward	1	0	1	0	0	1	1			2
33	1	28	1	go_reward	1	1	0	1	1	1	1	0.344743900001049		2
33	1	29	4	nogo_punish	0	0	-1	0	0	1	-1		0.0	2
33	1	30	2	nogo_reward	0	1	0	0	0	1	0			2
